Name,L_gp,R_gp,Thick_gp,SFP_Loc,SFP_Len,Thick_sfp,Oxide_Thick,BV,Leakage_2,Cgd_2,Leakage,Cgg,Cgs,Cds,Cgd,Vti
L_4_R_2_Th_4_Nb_2_Th2_Len_4_Loc_295_Ox_1,0.4,0.2,0.4,2.95,0.4,0.2,0.1,164.548,2.128,66.1,-0.002128,1.44e-07,-7.82e-08,-1.25e-08,-6.61e-08,-2.854
L_4_R_2_Th_4_Nb_2_Th4_Len_4_Loc_235_Ox_2,0.4,0.2,0.4,2.35,0.4,0.4,0.2,197.908,5.825,64.1,-0.005825,1.42e-07,-7.74e-08,-6e-09,-6.41e-08,-2.843
L_4_R_2_Th_4_Nb_2_Th2_Len_4_Loc_325_Ox_1,0.4,0.2,0.4,3.25,0.4,0.2,0.1,138.228,2.131,66.2,-0.002131,1.44e-07,-7.82e-08,-1.52e-08,-6.62e-08,-2.854
L_4_R_2_Th_4_Nb_2_Th6_Len_4_Loc_235_Ox_2,0.4,0.2,0.4,2.35,0.4,0.6,0.2,211.988,3.055,61.6,-0.003055,1.37e-07,-7.52e-08,-7.44e-09,-6.16e-08,-2.83
L_4_R_2_Th_4_Nb_2_Th4_Len_4_Loc_295_Ox_1,0.4,0.2,0.4,2.95,0.4,0.4,0.1,162.708,2.171,64.7,-0.002171,1.41e-07,-7.66e-08,-1.37e-08,-6.47e-08,-2.844
L_4_R_2_Th_4_Nb_2_Th2_Len_4_Loc_265_Ox_2,0.4,0.2,0.4,2.65,0.4,0.2,0.2,193.428,4.656,62.7,-0.004656,1.37e-07,-7.46e-08,-7.97e-09,-6.27e-08,-2.832
L_4_R_2_Th_2_Nb_2_Th2_Len_4_Loc_325_Ox_2,0.4,0.2,0.2,3.25,0.4,0.2,0.2,33.428,5.867,62.2,-0.005867,1.36e-07,-7.36e-08,-1e-08,-6.22e-08,-2.829
L_4_R_2_Th_2_Nb_2_Th4_Len_8_Loc_235_Ox_1,0.4,0.2,0.2,2.35,0.8,0.4,0.1,261.268,1.092,64.6,-0.001092,1.45e-07,-8.03e-08,-1.93e-08,-6.46e-08,-2.854
L_4_R_2_Th_2_Nb_2_Th4_Len_8_Loc_265_Ox_1,0.4,0.2,0.2,2.65,0.8,0.4,0.1,219.268,1.134,65.7,-0.001134,1.44e-07,-7.83e-08,-2.08e-08,-6.57e-08,-2.854
L_4_R_2_Th_2_Nb_2_Th6_Len_8_Loc_235_Ox_2,0.4,0.2,0.2,2.35,0.8,0.6,0.2,193.108,5.824,64.0,-0.005824,1.41e-07,-7.71e-08,-1.12e-08,-6.4e-08,-2.843
